DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
12850400.49,430.41,25.24,418.53,400.85,0,0,0,0,0,0,
12850390.26,291.81,21.67,281.66,340.57,0,0,0,0,0,0,
12850380.05,612.84,38.83,603.46,615.77,0,0,0,0,0,0,
12850369.82,865.83,41.96,856.92,667.09,0,0,0,0,0,0,
12850359.61,341.37,32.43,321.11,505.6,0,0,0,0,0,0,
12850349.40,299.56,25.68,292.36,408.95,0,0,0,0,0,0,
12850339.20,568.45,28.23,562.38,446.27,0,0,0,0,0,0,
12850328.98,915.49,44.49,914.63,710.35,0,0,0,0,0,0,
12850318.76,309.03,38.88,296.82,620.83,0,0,0,0,0,0,
12850308.55,369.79,19.55,350.34,308.58,0,0,0,0,0,0,
12850298.35,429.8,27.96,423.6,442.84,0,0,0,0,0,0,
12850288.13,784.7,54.24,783.2,865.11,0,0,0,0,0,0,
12850277.93,568.69,39.05,565.29,621.85,0,0,0,0,0,0,
12850267.72,419.26,20.66,405.98,325.75,0,0,0,0,0,0,
12850257.51,372.16,29.28,367.07,464.79,0,0,0,0,0,0,
12850247.30,616.2,45.88,609.95,730.74,0,0,0,0,0,0,
12850237.07,768.71,35.58,755.24,563.35,0,0,0,0,0,0,
12850226.87,377.9,24.31,363.8,382.74,0,0,0,0,0,0,
12850216.67,330.96,26.81,324.46,426.09,0,0,0,0,0,0,
12850206.45,591.27,31.48,585.18,498.06,0,0,0,0,0,0,
12850196.23,880.22,39.03,874.8,621.44,0,0,0,0,0,0,
12850186.03,279.63,40.5,270.4,642.94,0,0,0,0,0,0,
12850175.82,333.32,16.91,328.68,269.01,0,0,0,0,0,0,
12850165.61,458.25,29.95,452.92,473.55,0,0,0,0,0,0,
12850155.40,814.94,51.59,811.65,819.36,0,0,0,0,0,0,
12850145.19,522.35,39.75,512.2,631.76,0,0,0,0,0,0,
12850134.98,408.88,20.53,392.26,323.92,0,0,0,0,0,0,
12850124.77,382.72,28.28,373.43,446.44,0,0,0,0,0,0,
12850114.56,628.91,47.87,625.99,762.56,0,0,0,0,0,0,
12850104.34,752.36,35.81,748.38,570.46,0,0,0,0,0,0,
12850094.14,386.6,24.21,380.23,382.09,0,0,0,0,0,0,
12850083.92,324.14,26.06,315.06,413.89,0,0,0,0,0,0,
12850073.72,594.49,32.32,591.17,514.52,0,0,0,0,0,0,
12850063.50,879.89,45.19,876.43,718.95,0,0,0,0,0,0,
12850053.30,320.9,34.01,308.91,544.16,0,0,0,0,0,0,
12850043.10,284.68,16.34,284.06,260.96,0,0,0,0,0,0,
12850032.90,538.71,34.86,536.11,552.92,0,0,0,0,0,0,
12850022.68,899.71,47.27,891.68,751.74,0,0,0,0,0,0,
12850012.46,385.52,40.23,386.72,641.75,0,0,0,0,0,0,
12850002.25,375.99,19.18,360.51,302.3,0,0,0,0,0,0,
12849992.04,386.33,27.96,378.36,437.87,0,0,0,0,0,0,
12849981.81,678.35,51.54,676.28,821.33,0,0,0,0,0,0,
12849971.58,698.7,36.64,691.69,583.65,0,0,0,0,0,0,
12849961.36,445.68,24.29,420.66,382.47,0,0,0,0,0,0,
12849951.15,290.47,21.02,277.16,330.18,0,0,0,0,0,0,
12849940.94,611.82,39,605.36,618.77,0,0,0,0,0,0,
12849930.74,859.72,41.78,858.68,667.12,0,0,0,0,0,0,
12849920.54,335.95,31.73,334.11,505.2,0,0,0,0,0,0,
12849910.34,301.47,25.81,298.6,412.38,0,0,0,0,0,0,
12849900.13,568.91,28.28,560.04,446.33,0,0,0,0,0,0,
12849889.92,929.35,44.72,923.8,713.34,0,0,0,0,0,0,
12849879.71,314.69,39.01,301.33,620.29,0,0,0,0,0,0,
12849869.51,323.45,19.02,311.83,301.6,0,0,0,0,0,0,
12849859.31,384.02,26.71,373.72,420.74,0,0,0,0,0,0,
12849849.11,487.85,30.92,477.12,488.32,0,0,0,0,0,0,
12849838.89,860.13,41.47,851.19,659.32,0,0,0,0,0,0,
12849828.68,322.82,30.71,307.96,484.09,0,0,0,0,0,0,
12849818.48,317.38,25.23,307.71,395.64,0,0,0,0,0,0,
12849808.26,553.18,27.68,548.73,438.05,0,0,0,0,0,0,
12849798.05,900.3,45.63,899.04,727.4,0,0,0,0,0,0,
12849787.83,348.8,38.83,342.42,619.44,0,0,0,0,0,0,
12849777.62,356.35,19.39,340.67,306.87,0,0,0,0,0,0,
12849767.42,397.16,26.82,390.61,424.97,0,0,0,0,0,0,
12849757.21,584.06,47.63,578.46,758.57,0,0,0,0,0,0,
12849746.99,761.41,34.91,756.84,556.92,0,0,0,0,0,0,
12849736.78,359.31,24.31,347.81,381.67,0,0,0,0,0,0,
12849726.58,331.34,26.19,319.71,414.66,0,0,0,0,0,0,
12849716.38,605.28,32.33,598.08,510.9,0,0,0,0,0,0,
12849706.16,907.87,44.12,902.58,703.24,0,0,0,0,0,0,
12849695.95,327.61,36.8,315.22,581.29,0,0,0,0,0,0,
12849685.76,296.98,16.16,287.15,256.68,0,0,0,0,0,0,
12849675.56,517.79,33.91,510.31,535.14,0,0,0,0,0,0,
12849665.34,838.91,49.07,835.57,781.1,0,0,0,0,0,0,
12849655.12,463.22,39.59,449.52,626.16,0,0,0,0,0,0,
12849644.91,411.71,21.11,401.57,331.49,0,0,0,0,0,0,
12849634.70,369.05,27.25,360.34,429.78,0,0,0,0,0,0,
12849624.49,659.14,49.39,655.3,786.69,0,0,0,0,0,0,
12849614.28,716.36,35.35,717.55,565.73,0,0,0,0,0,0,
12849604.07,399.94,24.46,383.99,389.86,0,0,0,0,0,0,
12849593.81,238.47,20.66,234.18,329.3,0,0,0,0,0,0,
12849583.61,460.15,24.48,453.39,387.78,0,0,0,0,0,0,
12849573.40,663.85,44.35,662.93,708.85,0,0,0,0,0,0,
12849563.18,502.9,37.52,497.76,596.46,0,0,0,0,0,0,
12849552.99,425.03,21.28,415.23,338.02,0,0,0,0,0,0,
12849542.78,308.18,22.89,303.5,363.58,0,0,0,0,0,0,
12849532.57,392,20.56,389.31,324.29,0,0,0,0,0,0,
12849522.38,897.38,44.35,891.65,706.16,0,0,0,0,0,0,
12849512.16,341.93,39.08,325.26,623.33,0,0,0,0,0,0,
12849501.95,366.39,19.66,354.93,310.77,0,0,0,0,0,0,
12849491.75,407.88,27.06,401.61,427.3,0,0,0,0,0,0,
12849481.54,783.89,54.63,772.59,866.4,0,0,0,0,0,0,
12849471.31,598.28,39.86,586.62,631.79,0,0,0,0,0,0,
12849461.09,415.48,20.27,404.11,319.95,0,0,0,0,0,0,
12849450.89,373.69,29.68,360.69,465.7,0,0,0,0,0,0,
12849440.68,616.53,45.57,614.91,727.49,0,0,0,0,0,0,
12849430.46,773.37,34.94,776.62,557.48,0,0,0,0,0,0,
12849420.25,359.84,24.28,348.58,386.26,0,0,0,0,0,0,
12849410.05,339.46,26.98,333.08,429.67,0,0,0,0,0,0,
12849399.86,590.56,31.52,588.16,500.38,0,0,0,0,0,0,
12849389.63,902.79,44.6,901.56,712.35,0,0,0,0,0,0,
12849379.42,347.14,37.88,334.43,601.06,0,0,0,0,0,0,
12849369.23,290.89,16.32,283.33,258.19,0,0,0,0,0,0,
12849359.02,397.99,26.02,392.35,411.03,0,0,0,0,0,0,
12849348.81,752.26,53.26,750.52,849.22,0,0,0,0,0,0,
12849338.59,588.12,39.03,584.9,619.92,0,0,0,0,0,0,
12849328.37,409.18,20.62,402.64,328.98,0,0,0,0,0,0,
12849318.16,306.87,21.96,301.51,348.66,0,0,0,0,0,0,
12849307.95,608.31,42.82,601.04,679.65,0,0,0,0,0,0,
12849297.73,840.79,38.65,833.89,613.48,0,0,0,0,0,0,
12849287.51,314.58,28.02,297.91,440.63,0,0,0,0,0,0,
12849277.31,360.48,27.82,348.91,437.72,0,0,0,0,0,0,
12849267.12,558.34,29.04,551.36,459.68,0,0,0,0,0,0,
12849256.89,947.55,43.85,943.16,699.37,0,0,0,0,0,0,
12849246.68,289.02,39.35,275.27,625.01,0,0,0,0,0,0,
12849236.47,334.56,17.57,319.23,278.74,0,0,0,0,0,0,
12849226.27,445.04,29.34,439.96,463.27,0,0,0,0,0,0,
12849216.05,580.91,47.68,577.5,760.18,0,0,0,0,0,0,
12849205.80,720.46,37.32,711.6,594.59,0,0,0,0,0,0,
12849195.59,415.79,24.3,402.28,384.47,0,0,0,0,0,0,
12849185.35,248.1,19.94,244.71,315.4,0,0,0,0,0,0,
12849175.16,536.32,29.27,532.54,464.46,0,0,0,0,0,0,
12849164.95,780.57,40.61,776.63,645.19,0,0,0,0,0,0,
12849154.74,382.23,38.68,374.1,617.35,0,0,0,0,0,0,
12849144.54,393.56,20.15,380.03,317.21,0,0,0,0,0,0,
12849134.34,399.46,28.07,398.29,446.32,0,0,0,0,0,0,
12849124.12,637.18,49.79,635.98,793.07,0,0,0,0,0,0,
12849113.91,729.12,37.25,722.29,589.49,0,0,0,0,0,0,
12849103.70,431.35,24.64,422.26,388.82,0,0,0,0,0,0,
12849093.47,277.45,21.14,270.14,334.66,0,0,0,0,0,0,
12849083.27,605.83,36.41,598.92,577.7,0,0,0,0,0,0,
12849073.04,859.26,43.4,857.6,690.57,0,0,0,0,0,0,
12849062.83,317.37,31.2,301.23,498.5,0,0,0,0,0,0,
12849052.63,299.18,24.14,286.9,382.43,0,0,0,0,0,0,
12849042.42,557.24,27.57,547.34,434.07,0,0,0,0,0,0,
